title,release,week
Fantasy Strike,2020-03-31,160
DAEMON X MACHINA,2019-12-31,147
MARVEL ULTIMATE ALLIANCE 3: The Black Order,2019-12-31,147
Yoshi's Crafted World,2019-12-31,147
Catan Universe,2019-12-31,147
Huntdown,2019-12-31,147
Kentucky Route Zero: TV Edition,2019-12-31,147
Killer Queen Black,2019-12-31,147
Levelhead,2019-12-31,147
Munchkin,2019-12-31,147
Team Sonic Racing,2019-12-31,147
Wargroove,2019-12-31,147
King of the Hat,2019-04-30,112
Mineko's Night Market,2019-04-30,112
Samurai Gunn 2,2019-04-30,112
Shovel Knight: King of Cards,2019-04-30,112
The Lord of the Rings: Living Card Game,2019-04-30,112
The World Next Door,2019-04-30,112
Untitled Goose Game,2019-04-30,112
Mortal Kombat 11,2019-04-23,111
Bullet Age,2019-03-31,108
Pandemic,2019-03-31,108
ToeJam & Earl: Back in the Groove!,2019-03-01,104
DreamWorks Dragons Dawn of New Riders,2019-02-15,102
AWAY: Journey to the Unexpected,2019-02-07,101
Dragon Marked For Death,2019-01-30,99
Mages of Mystralia,2019-01-29,99
Doodle God: Evolution,2019-01-24,99
SMITE,2019-01-24,99
Travis Strikes Again: No More Heroes,2019-01-18,98
YIIK: A Postmodern RPG,2019-01-17,98
Onimusha: Warlords,2019-01-15,97
Forever Forest,2019-01-14,97
New Super Mario Bros. U Deluxe,2019-01-11,97
Hive Jump,2019-01-11,97
Stellar Interface,2019-01-11,97
Tales of Vesperia: Definitive Edition,2019-01-11,97
A Ch'ti Bundle,2019-01-10,97
"Bury me, my Love",2019-01-10,97
Double Cross,2019-01-10,97
Inside My Radio,2019-01-10,97
Mecho Wars: Desert Ashes,2019-01-10,97
Overdriven Reloaded: Special Edition,2019-01-10,97
Snowboarding The Next Phase,2019-01-10,97
Fitness Boxing,2019-01-04,96
99Seconds,2019-01-04,96
Mad Age & This Guy,2019-01-04,96
Catastronauts,2019-01-03,96
Dreamwalker,2019-01-03,96
JCB Pioneer: Mars,2019-01-03,96
Job the Leprechaun,2019-01-03,96
Pic-a-Pix Pieces,2019-01-03,96
The Aquatic Adventure of the Last Human,2019-01-03,96
Xenon Valkyrie+,2019-01-01,95
Super Meat Boy Forever,2018-12-31,95
