title,release
Fantasy Strike,31-Mar-20
DAEMON X MACHINA,31-Dec-19
MARVEL ULTIMATE ALLIANCE 3: The Black Order,31-Dec-19
Yoshi's Crafted World,31-Dec-19
Catan Universe,31-Dec-19
Huntdown,31-Dec-19
Kentucky Route Zero: TV Edition,31-Dec-19
Killer Queen Black,31-Dec-19
Levelhead,31-Dec-19
Munchkin,31-Dec-19
Team Sonic Racing,31-Dec-19
Wargroove,31-Dec-19
King of the Hat,30-Apr-19
Mineko's Night Market,30-Apr-19
Samurai Gunn 2,30-Apr-19
Shovel Knight: King of Cards,30-Apr-19
The Lord of the Rings: Living Card Game,30-Apr-19
The World Next Door,30-Apr-19
Untitled Goose Game,30-Apr-19
Mortal Kombat 11,23-Apr-19
Bullet Age,31-Mar-19
Pandemic,31-Mar-19
ToeJam & Earl: Back in the Groove!,1-Mar-19
DreamWorks Dragons Dawn of New Riders,15-Feb-19
AWAY: Journey to the Unexpected,7-Feb-19
Dragon Marked For Death,30-Jan-19
Mages of Mystralia,29-Jan-19
SMITE,24-Jan-19
Travis Strikes Again: No More Heroes,18-Jan-19
YIIK: A Postmodern RPG,17-Jan-19
Onimusha: Warlords,15-Jan-19
Forever Forest,14-Jan-19
New Super Mario Bros. U Deluxe,11-Jan-19
Stellar Interface,11-Jan-19
Tales of Vesperia: Definitive Edition,11-Jan-19
A Ch'ti Bundle,10-Jan-19
Bury me, my Love,10-Jan-19
Double Cross,10-Jan-19
Inside My Radio,10-Jan-19
Mecho Wars: Desert Ashes,10-Jan-19
Overdriven Reloaded: Special Edition,10-Jan-19
Snowboarding The Next Phase,10-Jan-19
Fitness Boxing,4-Jan-19
99Seconds,4-Jan-19
Mad Age & This Guy,4-Jan-19
Dreamwalker,3-Jan-19
JCB Pioneer: Mars,3-Jan-19
Job the Leprechaun,3-Jan-19
Pic-a-Pix Pieces,3-Jan-19
The Aquatic Adventure of the Last Human,3-Jan-19
Xenon Valkyrie+,1-Jan-19
Super Meat Boy Forever,31-Dec-18
Treasure Stack,31-Dec-18
Abyss,25-Dec-18
Odium to the Core,25-Dec-18
Uncanny Valley,25-Dec-18
Aaero: Complete Edition,24-Dec-18
Blacksea Odyssey,24-Dec-18
Digerati Indie Bundle: INK & HackyZack,24-Dec-18
Omega Strike,24-Dec-18
Pipe Push Paradise,24-Dec-18
Super Hero Fight Club: Reloaded,24-Dec-18
Super Treasure Arena,24-Dec-18
Koloro,22-Dec-18
Mana Spark,22-Dec-18
Wondershot,22-Dec-18
Clouds & Sheep 2,21-Dec-18
Dynamite Fishing - World Games,21-Dec-18
Sundered: Eldritch Edition,21-Dec-18
Awe,20-Dec-18
Battle Princess Madelyn,20-Dec-18
Cake Laboratory,20-Dec-18
Chronus Arc,20-Dec-18
Funghi Explosion,20-Dec-18
Guess the Character,20-Dec-18
Horizon Shift '81,20-Dec-18
Kingmaker: Rise to the Throne,20-Dec-18
Leopoldo Manquiseil,20-Dec-18
Nightshade,20-Dec-18
Revertia,20-Dec-18
The Keep,20-Dec-18
Viviette,20-Dec-18
Donut County,18-Dec-18
Sheltered,18-Dec-18
Firewatch,17-Dec-18
Hyperide: Vector Raid,17-Dec-18
Lazy Galaxy: Rebel Story,14-Dec-18
Peace, Death! Complete Edition,14-Dec-18
Race Arcade,14-Dec-18
ACA NEOGEO METAL SLUG 5,13-Dec-18
Almightree: The Last Dreamer,13-Dec-18
Arcade Archives ATHENA,13-Dec-18
Atari Flashback Classics,13-Dec-18
Big Bash Boom,13-Dec-18
Blue Rider,13-Dec-18
GRIS,13-Dec-18
Hunter's Legacy: Purrfect Edition,13-Dec-18
Knights of Pen & Paper 2 Deluxiest Edition,13-Dec-18
Knights of Pen and Paper Bundle,13-Dec-18
Mahjong Solitaire Refresh,13-Dec-18
MIND: Path to Thalamus,13-Dec-18
Omensight: Definitive Edition,13-Dec-18
Oxyjet,13-Dec-18
Party Arcade,13-Dec-18
Rain World,13-Dec-18
RollerCoaster Tycoon Adventures,13-Dec-18
SEGA AGES Phantasy Star,13-Dec-18
Starman,13-Dec-18
TRYBIT LOGIC,13-Dec-18
Venture Towns,13-Dec-18
Desert Child,11-Dec-18
Ethan: Meteor Hunter,11-Dec-18
Everspace - Stellar Edition,11-Dec-18
Kingdom Two Crowns,11-Dec-18
Solar Flux,11-Dec-18
Guacamelee! 2,10-Dec-18
Quarantine Circular,8-Dec-18
Super Smash Bros. Ultimate,7-Dec-18
Super Smash Bros. Ultimate Special Edition,7-Dec-18
'n Verlore Verstand,7-Dec-18
Hello Neighbor Hide and Seek,7-Dec-18
Katamari Damacy REROLL,7-Dec-18
Santa Tracker,7-Dec-18
SEGA Genesis Classics,7-Dec-18
ACA NEOGEO TWINKLE STAR SPRITES,6-Dec-18
Arcade Archives DOUBLE DRAGON II The Revenge,6-Dec-18
Basketball,6-Dec-18
Beholder: Complete Edition,6-Dec-18
Carcassonne,6-Dec-18
Color Zen,6-Dec-18
Conduct TOGETHER!,6-Dec-18
Football Manager 2019 Touch,6-Dec-18
Gnomes Garden,6-Dec-18
INSTANT TENNIS,6-Dec-18
Ivanych vs Eared Beast,6-Dec-18
Julie's Sweets,6-Dec-18
LongStory: A dating game for the real world,6-Dec-18
Rival Megagun,6-Dec-18
Ultimate Runner,6-Dec-18
Energy Cycle Edge,5-Dec-18
Atelier Arland series Deluxe Pack,4-Dec-18
Atelier Meruru The Apprentice of Arland DX,4-Dec-18
Atelier Rorona The Alchemist of Arland DX,4-Dec-18
Atelier Totori The Adventurer of Arland DX,4-Dec-18
Gear.Club Unlimited 2,4-Dec-18
Monica e a Guarda dos Coelhos,4-Dec-18
Monster Boy and the Cursed Kingdom,4-Dec-18
Toki,4-Dec-18
Demetrios - The BIG Cynical Adventure,3-Dec-18
ROCK BOSHERS DX: Director's Cut,1-Dec-18
ARK: Survival Evolved,30-Nov-18
Coffee Crisis,30-Nov-18
Escape Doodland,30-Nov-18
Harvest Life,30-Nov-18
I Am The Hero,30-Nov-18
OkunoKA,30-Nov-18
Secret Files: Tunguska,30-Nov-18
Superbrothers: Sword & Sworcery EP,30-Nov-18
The First Tree,30-Nov-18
3D Billiards - Pool & Snooker,29-Nov-18
ABZU,29-Nov-18
ACA NEOGEO NEO GEO CUP '98: THE ROAD TO THE VICTORY,29-Nov-18
Akihabara - Feel the Rhythm Remixed,29-Nov-18
Animal Hunter Z,29-Nov-18
Arcade Archives ROUTE 16,29-Nov-18
Asterix & Obelix XXL 2,29-Nov-18
Cattails,29-Nov-18
Crimson Keep,29-Nov-18
Dexteritrip,29-Nov-18
Gelly Break,29-Nov-18
GensokyoDefenders,29-Nov-18
Marenian Tavern Story: Patty and the Hungry God,29-Nov-18
NAIRI: Tower of Shirin,29-Nov-18
Screencheat: Unplugged,29-Nov-18
Stardust Galaxy Warriors: Stellar Climax,29-Nov-18
Horizon Chase Turbo,28-Nov-18
R-Type Dimensions EX,28-Nov-18
99Vidas - Definitive Edition,27-Nov-18
Spintires: MudRunner - American Wilds,27-Nov-18
This War of Mine: Complete Edition,27-Nov-18
Mordheim: Warband Skirmish,26-Nov-18
STUMP,23-Nov-18
ACA NEOGEO KING OF THE MONSTERS 2,22-Nov-18
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,22-Nov-18
ATV Drift & Tricks,22-Nov-18
Battery Jam,22-Nov-18
Bibi & Tina - Adventures with Horses,22-Nov-18
Bibi Blocksberg - Big Broom Race 3,22-Nov-18
GEM CRASH,22-Nov-18
Ms. Splosion Man,22-Nov-18
Nidhogg 2,22-Nov-18
Panda Hero,22-Nov-18
Party Hard,22-Nov-18
Please, Don't Touch Anything,22-Nov-18
Steamburg,22-Nov-18
WAKU WAKU SWEETS,22-Nov-18
Word Sudoku by POWGI,22-Nov-18
Zeus Quests Remastered,22-Nov-18
Desktop Soccer,21-Nov-18
Bendy and the Ink Machine,20-Nov-18
kuso,20-Nov-18
Moto Racer 4,20-Nov-18
Storm Boy,20-Nov-18
Warframe,20-Nov-18
Youtubers Life OMG Edition,20-Nov-18
Pokémon: Let's Go, Eevee!,16-Nov-18
Pokémon: Let's Go, Pikachu!,16-Nov-18
Super Mario Party Bundle,16-Nov-18
Circle of Sumo,16-Nov-18
Coloring Book,16-Nov-18
Mars: Chaos Menace,16-Nov-18
Pokémon: Let's Go, Eevee! + Poké Ball Plus Pack,16-Nov-18
Pokémon: Let's Go, Pikachu! + Poké Ball Plus Pack,16-Nov-18
Sid Meier's Civilization VI,16-Nov-18
Toast Time: Smash Up!,16-Nov-18
ACA NEOGEO STAKES WINNER 2,15-Nov-18
Arcade Archives Atomic Robo-Kid,15-Nov-18
Destruction,15-Nov-18
Johnny Turbo's Arcade: Heavy Barrel,15-Nov-18
M.A.C.E. Space Shooter,15-Nov-18
Mimpi Dreams,15-Nov-18
Mother Russia Bleeds,15-Nov-18
ROCKETSROCKETSROCKETS,15-Nov-18
Soap Dodgem,15-Nov-18
SOLITAIRE BATTLE ROYAL,15-Nov-18
Super Hydorah,15-Nov-18
Swamp Defense 2,15-Nov-18
Teddy the Wanderer: Kayaking,15-Nov-18
Tinboy,15-Nov-18
Trailblazers,15-Nov-18
Chalk Dash Carnival,14-Nov-18
Palm Reading Premium,14-Nov-18
Mahjong,13-Nov-18
My Riding Stables - Life with Horses,13-Nov-18
Project Highrise: Architect's Edition,13-Nov-18
SNK 40th ANNIVERSARY COLLECTION,13-Nov-18
Arcade Archives URBAN CHAMPION,9-Nov-18
Collidalot,9-Nov-18
Croc's World,9-Nov-18
Forgotton Anne,9-Nov-18
Noir Chronicles: City of Crime,9-Nov-18
Saboteur!,9-Nov-18
Townsmen,9-Nov-18
Trine Enchanted Edition,9-Nov-18
ACA NEOGEO THRASH RALLY,8-Nov-18
Astebreed,8-Nov-18
Battlezone Gold Edition,8-Nov-18
Crashlands,8-Nov-18
Johnny Turbo's Arcade: Break Thru,8-Nov-18
Johnny Turbo's Arcade: Night Slashers,8-Nov-18
MechaNika,8-Nov-18
Mercenaries Wings: The False Phoenix,8-Nov-18
Picture Painting Puzzle 1000!,8-Nov-18
Rage in Peace,8-Nov-18
Sky Force Anniversary,8-Nov-18
Syberia 1 & 2,8-Nov-18
The Bug Butcher,8-Nov-18
The Walking Vegetables: Radical Edition,8-Nov-18
Timber Tennis: Versus,8-Nov-18
Valiant Hearts: The Great War,8-Nov-18
Varion,8-Nov-18
YouTube,8-Nov-18
CricktoGame: Nintendo Switch Edition,7-Nov-18
Deru - The Art of Cooperation,7-Nov-18
Operation Pig,7-Nov-18
Roarr! Jurassic Edition,7-Nov-18
Brawlhalla,6-Nov-18
Carnival Games,6-Nov-18
Full Metal Furies,6-Nov-18
GRIP,6-Nov-18
Minecraft: Story Mode - Season Two,6-Nov-18
Road Redemption,6-Nov-18
Rogue Legacy,6-Nov-18
Shadow of Loot Box,6-Nov-18
Solitaire,6-Nov-18
The Shapeshifting Detective,6-Nov-18
WORLD OF FINAL FANTASY MAXIMA,6-Nov-18
